name,age,nationality,overall,club,preferred_foot,jersey number,contract valid until,height,weight,league,speciality
M. Hummels,29,Germany,88,FC Bayern München,Right,5,2021,75,203,BUNDESLIGA,Tackler
Marcelo,30,Brazil,88,Real Madrid,Left,12,2022,69,176,LALIGA SANTANDER,Dribbler
G. Bale,28,Wales,88,Real Madrid,Left,11,2022,73,181,LALIGA SANTANDER,Distance Shooter
H. Lloris,31,France,88,Tottenham Hotspur,Left,1,2022,74,181,PREMIER LEAGUE,Goalkeeper
G. Higuaín,30,Argentina,88,Milan,Right,9,"Jun 30, 2019",73,196,SERIE A TIM,No Speciality
Thiago Silva,33,Brazil,88,Paris Saint-Germain,Right,2,2020,72,181,LIGUE 1 CONFORAMA,Tactician
S. Handanovič,33,Slovenia,88,Inter,Right,1,2021,76,203,SERIE A TIM,Goalkeeper
G. Buffon,40,Italy,88,Paris Saint-Germain,Right,1,2019,76,203,LIGUE 1 CONFORAMA,Goalkeeper
S. Umtiti,24,France,87,FC Barcelona,Left,23,2023,72,165,LALIGA SANTANDER,Tackler
M. Icardi,25,Argentina,87,Inter,Right,9,2021,71,165,SERIE A TIM,Poacher
K. Koulibaly,27,Senegal,87,Napoli,Right,26,2021,74,196,SERIE A TIM,Complete Defender
P. Pogba,25,France,87,Manchester United,Right,6,2021,76,185,PREMIER LEAGUE,Strength
K. Navas,31,Costa Rica,87,Real Madrid,Right,1,2020,73,176,LALIGA SANTANDER,Goalkeeper
R. Lukaku,25,Belgium,87,Manchester United,Left,9,2022,75,207,PREMIER LEAGUE,Complete Forward
C. Immobile,28,Italy,87,Lazio,Right,17,2023,73,187,SERIE A TIM,No Speciality
Jordi Alba,29,Spain,87,FC Barcelona,Left,18,2020,67,150,LALIGA SANTANDER,Speedster
D. Mertens,31,Belgium,87,Napoli,Right,14,2020,67,134,SERIE A TIM,Dribbler
J. Vertonghen,31,Belgium,87,Tottenham Hotspur,Left,5,2019,74,190,PREMIER LEAGUE,Tackler
M. Hamšík,30,Slovakia,87,Napoli,Right,17,2020,72,174,SERIE A TIM,No Speciality
I. Rakitić,30,Croatia,87,FC Barcelona,Right,4,2021,72,172,LALIGA SANTANDER,No Speciality
Piqué,31,Spain,87,FC Barcelona,Right,3,2022,76,187,LALIGA SANTANDER,Tactician
L. Sané,22,Germany,86,Manchester City,Left,19,2021,72,165,PREMIER LEAGUE,Dribbler
Bernardo Silva,23,Portugal,86,Manchester City,Left,11,2022,68,141,PREMIER LEAGUE,Dribbler
Ederson,24,Brazil,86,Manchester City,Left,31,2025,74,190,PREMIER LEAGUE,Goalkeeper
S. Mané,26,Senegal,86,Liverpool,Right,10,2023,69,152,PREMIER LEAGUE,Dribbler
V. van Dijk,26,Netherlands,86,Liverpool,Right,4,2023,76,203,PREMIER LEAGUE,Strength
R. Sterling,23,England,86,Manchester City,Right,10,2023,67,152,PREMIER LEAGUE,Dribbler
Roberto Firmino,26,Brazil,86,Liverpool,Right,9,2023,71,168,PREMIER LEAGUE,Dribbler
R. Varane,25,France,86,Real Madrid,Right,4,2022,75,179,LALIGA SANTANDER,Tackler
M. Verratti,25,Italy,86,Paris Saint-Germain,Right,6,2021,65,132,LIGUE 1 CONFORAMA,Complete Midfielder
Alex Sandro,27,Brazil,86,Juventus,Left,12,2020,71,176,SERIE A TIM,Engine
Douglas Costa,27,Brazil,86,Juventus,Left,11,2022,68,154,SERIE A TIM,Dribbler
T. Müller,28,Germany,86,FC Bayern München,Right,13,2021,73,165,BUNDESLIGA,Engine
Thiago,27,Spain,86,FC Bayern München,Right,19,2021,69,154,BUNDESLIGA,Dribbler
M. Reus,29,Germany,86,Borussia Dortmund,Right,11,2023,71,157,BUNDESLIGA,Complete Forward
Azpilicueta,28,Spain,86,Chelsea,Right,14,2022,70,168,PREMIER LEAGUE,Tackler
L. Bonucci,31,Italy,86,Juventus,Right,19,2023,75,187,SERIE A TIM,Tactician
T. Alderweireld,29,Belgium,86,Tottenham Hotspur,Right,2,2020,73,179,PREMIER LEAGUE,Tackler
M. Pjanić,28,Bosnia Herzegovina,86,Juventus,Right,5,2023,70,159,SERIE A TIM,Playmaker
M. Benatia,31,Morocco,86,Juventus,Right,4,2020,74,207,SERIE A TIM,Strength
M. Özil,29,Germany,86,Arsenal,Left,10,2021,71,168,PREMIER LEAGUE,Playmaker
Fernandinho,33,Brazil,86,Manchester City,Right,25,2020,70,148,PREMIER LEAGUE,Tactician
Iniesta,34,Spain,86,Vissel Kobe,Right,8,2021,67,150,MEIJI YASUDA J1,Complete Midfielder
M. Škriniar,23,Slovakia,85,Inter,Right,37,2022,74,176,SERIE A TIM,No Speciality
S. Milinković-Savić,23,Serbia,85,Lazio,Right,21,2023,75,168,SERIE A TIM,No Speciality
Marco Asensio,22,Spain,85,Real Madrid,Left,10,2023,72,168,LALIGA SANTANDER,No Speciality
N. Fekir,24,France,85,Olympique Lyonnais,Left,18,2020,68,165,LIGUE 1 CONFORAMA,Dribbler
Alisson,25,Brazil,85,Liverpool,Right,13,2024,75,201,PREMIER LEAGUE,Goalkeeper
J. Kimmich,23,Germany,85,FC Bayern München,Right,18,2023,69,154,BUNDESLIGA,Crosser
Saúl,23,Spain,85,Atlético Madrid,Left,6,2026,72,170,LALIGA SANTANDER,No Speciality
R. Mahrez,27,Algeria,85,Manchester City,Left,26,2023,70,148,PREMIER LEAGUE,Dribbler
D. Alaba,26,Austria,85,FC Bayern München,Left,8,2021,71,168,BUNDESLIGA,No Speciality
Koke,26,Spain,85,Atlético Madrid,Right,8,2019,69,163,LALIGA SANTANDER,Complete Midfielder
A. Lacazette,27,France,85,Arsenal,Right,9,2022,69,161,PREMIER LEAGUE,No Speciality
K. Manolas,27,Greece,85,Roma,Right,4,2022,74,183,SERIE A TIM,Tackler
N. Otamendi,30,Argentina,85,Manchester City,Right,30,2022,72,179,PREMIER LEAGUE,No Speciality
Parejo,29,Spain,85,Valencia CF,Right,10,2020,72,163,LALIGA SANTANDER,No Speciality
Paulinho,29,Brazil,85,Guangzhou Evergrande Taobao FC,Right,9,"Jun 30, 2019",72,157,CSL,Engine
W. Szczęsny,28,Poland,85,Juventus,Right,1,2021,77,198,SERIE A TIM,Goalkeeper
A. Sánchez,29,Chile,85,Manchester United,Right,7,2022,67,163,PREMIER LEAGUE,Dribbler
Y. Brahimi,28,Algeria,85,FC Porto,Right,8,2019,69,146,LIGA NOS,Dribbler
J. Boateng,29,Germany,85,FC Bayern München,Right,17,2021,76,198,BUNDESLIGA,Complete Defender
A. Vidal,31,Chile,85,FC Barcelona,Right,8,2021,71,165,LALIGA SANTANDER,Tackler
I. Perišić,29,Croatia,85,Inter,Right,44,2022,73,176,SERIE A TIM,No Speciality
E. Džeko,32,Bosnia Herzegovina,85,Roma,Right,9,2020,76,185,SERIE A TIM,No Speciality
S. Khedira,31,Germany,85,Juventus,Right,6,2021,74,198,SERIE A TIM,Strength
Diego Costa,29,Spain,85,Atlético Madrid,Right,19,2021,74,190,LALIGA SANTANDER,Strength
R. Nainggolan,30,Belgium,85,Inter,Right,14,2022,69,170,SERIE A TIM,Engine
Naldo,35,Brazil,85,FC Schalke 04,Right,29,2020,78,201,BUNDESLIGA,No Speciality
B. Matuidi,31,France,85,Juventus,Left,14,2020,71,165,SERIE A TIM,Engine
Miranda,33,Brazil,85,Inter,Right,23,2020,73,172,SERIE A TIM,No Speciality
K. Benzema,30,France,85,Real Madrid,Right,9,2021,73,179,LALIGA SANTANDER,No Speciality
Filipe Luís,32,Brazil,85,Atlético Madrid,Left,3,2019,72,163,LALIGA SANTANDER,No Speciality
V. Kompany,32,Belgium,85,Manchester City,Right,4,2019,75,187,PREMIER LEAGUE,Strength
Pepe,35,Portugal,85,Beşiktaş JK,Right,3,2019,74,179,SÜPER LIG,No Speciality
Z. Ibrahimović,36,Sweden,85,LA Galaxy,Right,9,2022,77,209,MLS,No Speciality
D. Sánchez,22,Colombia,84,Tottenham Hotspur,Right,23,2024,74,174,PREMIER LEAGUE,No Speciality
J. Giménez,23,Uruguay,84,Atlético Madrid,Right,24,2023,73,176,LALIGA SANTANDER,No Speciality
Alex Telles,25,Brazil,84,FC Porto,Left,13,2021,71,157,LIGA NOS,Crosser
A. Laporte,24,France,84,Manchester City,Left,14,2023,74,187,PREMIER LEAGUE,No Speciality
Bruno Fernandes,23,Portugal,84,Sporting CP,Right,8,2023,70,152,LIGA NOS,No Speciality
N. Süle,22,Germany,84,FC Bayern München,Right,15,2022,77,214,BUNDESLIGA,Strength
A. Martial,22,France,84,Manchester United,Right,11,2019,72,168,PREMIER LEAGUE,Dribbler
D. Alli,22,England,84,Tottenham Hotspur,Right,20,2024,74,176,PREMIER LEAGUE,Engine
Fabinho,24,Brazil,84,Liverpool,Right,3,2023,74,172,PREMIER LEAGUE,No Speciality
Marquinhos,24,Brazil,84,Paris Saint-Germain,Right,5,2022,72,165,LIGUE 1 CONFORAMA,Tackler
William Carvalho,26,Portugal,84,Real Betis,Right,14,2023,74,183,LALIGA SANTANDER,Strength
Jorginho,26,Italy,84,Chelsea,Right,8,2023,71,148,PREMIER LEAGUE,Playmaker
F. Thauvin,25,France,84,Olympique de Marseille,Left,20,2021,70,154,LIGUE 1 CONFORAMA,No Speciality
Carvajal,26,Spain,84,Real Madrid,Right,2,2022,68,161,LALIGA SANTANDER,No Speciality
M. Depay,24,Netherlands,84,Olympique Lyonnais,Right,10,2021,69,172,LIGUE 1 CONFORAMA,No Speciality
H. Son,25,Korea Republic,84,Tottenham Hotspur,Right,7,2023,72,143,PREMIER LEAGUE,Dribbler
A. Lopes,27,Portugal,84,Olympique Lyonnais,Left,1,2020,72,179,LIGUE 1 CONFORAMA,Goalkeeper
S. de Vrij,26,Netherlands,84,Inter,Right,14,2023,74,172,SERIE A TIM,No Speciality
M. Perin,25,Italy,84,Juventus,Right,22,2022,74,170,SERIE A TIM,Goalkeeper
J. Cuadrado,30,Colombia,84,Juventus,Right,11,2020,70,159,SERIE A TIM,Dribbler
Iago Aspas,30,Spain,84,RC Celta,Left,17,2022,69,148,LALIGA SANTANDER,Clinical Finisher
B. Leno,26,Germany,84,Arsenal,Right,12,2023,75,183,PREMIER LEAGUE,Goalkeeper
N. Matić,29,Serbia,84,Manchester United,Left,31,2020,76,187,PREMIER LEAGUE,No Speciality
L. Hrádecký,28,Finland,84,Bayer 04 Leverkusen,Right,1,2023,76,187,BUNDESLIGA,Goalkeeper
Illarramendi,28,Spain,84,Real Sociedad,Right,4,2023,70,165,LALIGA SANTANDER,Tactician
K. Walker,28,England,84,Manchester City,Right,2,2022,72,154,PREMIER LEAGUE,Engine
I. Gündoğan,27,Germany,84,Manchester City,Right,21,2020,71,176,PREMIER LEAGUE,No Speciality
José Callejón,31,Spain,84,Napoli,Right,7,2020,70,161,SERIE A TIM,Engine
A. Di María,30,Argentina,84,Paris Saint-Germain,Left,11,2021,71,152,LIGUE 1 CONFORAMA,No Speciality
M. Mandžukić,32,Croatia,84,Juventus,Right,17,2020,75,187,SERIE A TIM,No Speciality
Willian,29,Brazil,84,Chelsea,Right,22,2020,69,172,PREMIER LEAGUE,Dribbler
Sergio Asenjo,29,Spain,84,Villarreal CF,Right,1,2022,74,192,LALIGA SANTANDER,Goalkeeper
E. Banega,30,Argentina,84,Sevilla FC,Right,10,2020,69,157,LALIGA SANTANDER,Playmaker
A. Witsel,29,Belgium,84,Borussia Dortmund,Right,6,2022,74,179,BUNDESLIGA,No Speciality
D. Payet,31,France,84,Olympique de Marseille,Right,18,2021,69,170,LIGUE 1 CONFORAMA,Crosser
Jonas,34,Brazil,84,SL Benfica,Right,10,2020,71,163,LIGA NOS,Clinical Finisher
Sokratis,30,Greece,84,Arsenal,Right,19,2021,73,187,PREMIER LEAGUE,Aerial Threat
S. Ruffier,31,France,84,AS Saint-Étienne,Right,16,2021,74,205,LIGUE 1 CONFORAMA,Goalkeeper
Falcao,32,Colombia,84,AS Monaco,Right,9,2020,70,159,LIGUE 1 CONFORAMA,No Speciality
K. Schmeichel,31,Denmark,84,Leicester City,Right,1,2023,74,196,PREMIER LEAGUE,Goalkeeper
Raúl Albiol,32,Spain,84,Napoli,Right,33,2021,75,181,SERIE A TIM,No Speciality
A. Gómez,30,Argentina,84,Atalanta,Right,10,2022,65,150,SERIE A TIM,Dribbler
A. Barzagli,37,Italy,84,Juventus,Right,15,2019,74,192,SERIE A TIM,No Speciality
Quaresma,34,Portugal,84,Beşiktaş JK,Right,7,2020,69,148,SÜPER LIG,Dribbler
A. Robben,34,Netherlands,84,FC Bayern München,Left,10,2019,71,176,BUNDESLIGA,Dribbler
O. Dembélé,21,France,83,FC Barcelona,Left,11,2022,70,148,LALIGA SANTANDER,Dribbler
Gabriel Jesus,21,Brazil,83,Manchester City,Right,33,2023,69,161,PREMIER LEAGUE,Acrobat
Ronaldo Cabrais,26,Brazil,83,Grêmio,Right,7,2021,70,165,LIGA DO BRASIL,No Speciality
Josué Chiamulera,26,Brazil,83,Grêmio,Right,4,2021,73,176,LIGA DO BRASIL,No Speciality
Louri Beretta,26,Brazil,83,Atlético Mineiro,Right,9,2021,74,183,LIGA DO BRASIL,Strength
P. Kimpembe,22,France,83,Paris Saint-Germain,Left,3,2023,74,176,LIGUE 1 CONFORAMA,No Speciality
N. Keïta,23,Guinea,83,Liverpool,Right,8,2023,68,141,PREMIER LEAGUE,Dribbler
C. Tolisso,23,France,83,FC Bayern München,Right,24,2022,71,179,BUNDESLIGA,No Speciality
T. Lemar,22,France,83,Atlético Madrid,Left,8,2023,67,137,LALIGA SANTANDER,No Speciality
K. Coman,22,France,83,FC Bayern München,Right,29,2023,70,157,BUNDESLIGA,Dribbler
J. Tah,22,Germany,83,Bayer 04 Leverkusen,Right,20,2023,77,214,BUNDESLIGA,Strength
Anderson Talisca,24,Brazil,83,Guangzhou Evergrande Taobao FC,Left,24,"Dec 31, 2018",75,176,CSL,No Speciality
T. Werner,22,Germany,83,RB Leipzig,Right,9,2020,71,165,BUNDESLIGA,Speedster
A. Rabiot,23,France,83,Paris Saint-Germain,Left,25,2019,76,176,LIGUE 1 CONFORAMA,No Speciality
L. Goretzka,23,Germany,83,FC Bayern München,Right,14,2022,74,174,BUNDESLIGA,No Speciality
Q. Promes,26,Netherlands,83,Sevilla FC,Right,9,2023,69,159,LALIGA SANTANDER,Acrobat
H. Ziyech,25,Morocco,83,Ajax,Left,22,2021,71,143,EREDIVISIE,No Speciality
Lucas Vázquez,27,Spain,83,Real Madrid,Right,17,2021,68,154,LALIGA SANTANDER,Engine
Y. Carrasco,24,Belgium,83,Dalian YiFang FC,Right,10,2021,71,161,CSL,Acrobat
Gerard Moreno,26,Spain,83,Villarreal CF,Left,7,2023,71,170,LALIGA SANTANDER,No Speciality
Felipe,29,Brazil,83,FC Porto,Right,28,2021,75,190,LIGA NOS,Aerial Threat
M. Kovačić,24,Croatia,83,Chelsea,Right,17,"Jun 30, 2019",69,172,PREMIER LEAGUE,Complete Midfielder
Kepa,23,Spain,83,Chelsea,Right,13,2025,73,187,PREMIER LEAGUE,Goalkeeper
Manu Trigueros,26,Spain,83,Villarreal CF,Right,14,2022,70,165,LALIGA SANTANDER,No Speciality
S. Gnabry,22,Germany,83,FC Bayern München,Right,6,2020,69,165,BUNDESLIGA,Dribbler
J. Pickford,24,England,83,Everton,Left,1,2024,73,170,PREMIER LEAGUE,Goalkeeper
S. Savić,27,Montenegro,83,Atlético Madrid,Right,15,2020,74,174,LALIGA SANTANDER,No Speciality
J. Stones,24,England,83,Manchester City,Right,5,2022,74,154,PREMIER LEAGUE,No Speciality
Suso,24,Spain,83,Milan,Left,11,2022,69,154,SERIE A TIM,Dribbler
J. Draxler,24,Germany,83,Paris Saint-Germain,Right,7,2021,74,170,LIGUE 1 CONFORAMA,No Speciality
Felipe Anderson,25,Brazil,83,West Ham United,Right,8,2022,69,154,PREMIER LEAGUE,Dribbler
Lucas Moura,25,Brazil,83,Tottenham Hotspur,Right,27,2023,69,154,PREMIER LEAGUE,Dribbler
Danilo Pereira,26,Portugal,83,FC Porto,Right,22,2022,74,183,LIGA NOS,Strength
Nacho Fernández,28,Spain,83,Real Madrid,Right,12,2021,71,168,LALIGA SANTANDER,No Speciality
T. Horn,25,Germany,83,1. FC Köln,Left,1,2023,76,198,BUNDESLIGA,Goalkeeper
Allan,27,Brazil,83,Napoli,Right,5,2023,69,163,SERIE A TIM,No Speciality
F. Acerbi,30,Italy,83,Lazio,Left,13,2023,76,194,SERIE A TIM,No Speciality
Sergi Roberto,26,Spain,83,FC Barcelona,Right,20,2022,70,150,LALIGA SANTANDER,No Speciality
Rodrigo,27,Spain,83,Valencia CF,Left,9,2022,72,170,LALIGA SANTANDER,No Speciality
Pizzi,28,Portugal,83,SL Benfica,Right,21,2022,70,159,LIGA NOS,No Speciality
K. Kampl,27,Slovenia,83,RB Leipzig,Right,44,2021,70,148,BUNDESLIGA,Engine
Neto,28,Brazil,83,Valencia CF,Right,13,2021,75,185,LALIGA SANTANDER,Goalkeeper
O. Baumann,28,Germany,83,TSG 1899 Hoffenheim,Right,1,2021,74,181,BUNDESLIGA,Goalkeeper
I. Gueye,28,Senegal,83,Everton,Right,17,2022,69,146,PREMIER LEAGUE,Tactician
H. Mkhitaryan,29,Armenia,83,Arsenal,Right,7,2021,70,165,PREMIER LEAGUE,No Speciality
Marcos Alonso,27,Spain,83,Chelsea,Left,3,2023,74,192,PREMIER LEAGUE,No Speciality
D. Subašić,33,Croatia,83,AS Monaco,Right,1,2020,75,185,LIGUE 1 CONFORAMA,Goalkeeper
K. Glik,30,Poland,83,AS Monaco,Right,15,2021,75,176,LIGUE 1 CONFORAMA,No Speciality
K. Strootman,28,Netherlands,83,Olympique de Marseille,Left,16,2023,73,176,LIGUE 1 CONFORAMA,No Speciality
B. Dost,29,Netherlands,83,Sporting CP,Right,28,2021,77,196,LIGA NOS,Complete Forward
Oscar,26,Brazil,83,Shanghai SIPG FC,Right,8,2020,70,146,CSL,No Speciality
M. Balotelli,27,Italy,83,OGC Nice,Right,9,2019,74,194,LIGUE 1 CONFORAMA,No Speciality
Luiz Gustavo,30,Brazil,83,Olympique de Marseille,Left,19,2021,74,172,LIGUE 1 CONFORAMA,No Speciality
Giuliano,28,Brazil,83,Al Nassr,Right,77,2021,68,150,SAUDI PROFESSIONAL LEAGUE,No Speciality
David Luiz,31,Brazil,83,Chelsea,Right,30,2019,74,190,PREMIER LEAGUE,No Speciality
R. Fährmann,29,Germany,83,FC Schalke 04,Right,1,2022,78,216,BUNDESLIGA,Goalkeeper
Juan Mata,30,Spain,83,Manchester United,Left,8,2019,67,139,PREMIER LEAGUE,No Speciality
Adán,31,Spain,83,Atlético Madrid,Left,1,2020,75,203,LALIGA SANTANDER,Goalkeeper
Rui Patrício,30,Portugal,83,Wolverhampton Wanderers,Left,1,2022,75,185,PREMIER LEAGUE,Goalkeeper
Y. Sommer,29,Switzerland,83,Borussia Mönchengladbach,Right,1,2021,72,174,BUNDESLIGA,Goalkeeper
Javi Martínez,29,Spain,83,FC Bayern München,Right,8,2021,76,190,BUNDESLIGA,Tactician
L. Bender,29,Germany,83,Bayer 04 Leverkusen,Right,8,2021,73,179,BUNDESLIGA,No Speciality
Lucas Leiva,31,Brazil,83,Lazio,Right,6,2020,70,172,SERIE A TIM,Tactician
S. Mandanda,33,France,83,Olympique de Marseille,Right,16,2020,73,181,LIGUE 1 CONFORAMA,Goalkeeper
Cesc Fàbregas,31,Spain,83,Chelsea,Right,4,2019,70,170,PREMIER LEAGUE,Playmaker
M. Dembélé,30,Belgium,83,Tottenham Hotspur,Left,19,2019,73,181,PREMIER LEAGUE,Dribbler
F. Ribéry,35,France,83,FC Bayern München,Right,7,2019,67,159,BUNDESLIGA,No Speciality
R. Jarstein,33,Norway,83,Hertha BSC,Right,1,2021,75,181,BUNDESLIGA,Goalkeeper
D. De Rossi,34,Italy,83,Roma,Right,16,2019,72,183,SERIE A TIM,No Speciality
Pepe Reina,35,Spain,83,Milan,Right,25,2021,74,203,SERIE A TIM,Goalkeeper
J. Pavlenka,26,Czech Republic,82,SV Werder Bremen,Right,1,2021,77,179,BUNDESLIGA,Goalkeeper
M. de Ligt,18,Netherlands,82,Ajax,Right,3,2021,74,196,EREDIVISIE,Strength
Rodri,22,Spain,82,Atlético Madrid,Right,16,2023,75,181,LALIGA SANTANDER,No Speciality
Arthur,21,Brazil,82,FC Barcelona,Right,8,2024,67,161,LALIGA SANTANDER,No Speciality
G. Donnarumma,19,Italy,82,Milan,Right,22,2021,77,198,SERIE A TIM,Goalkeeper
Rosberto Dourado,30,Brazil,82,Atlético Mineiro,Right,13,2018,69,154,LIGA DO BRASIL,No Speciality
Juiano Mestres,34,Brazil,82,Cruzeiro,Right,3,2021,71,181,LIGA DO BRASIL,No Speciality
Raphaelito Anjos,30,Brazil,82,Grêmio,Right,1,2021,75,187,LIGA DO BRASIL,Goalkeeper
Gelson Martins,23,Portugal,82,Atlético Madrid,Right,18,2023,68,159,LALIGA SANTANDER,Speedster
Gonçalo Guedes,21,Portugal,82,Valencia CF,Right,17,2024,70,150,LALIGA SANTANDER,No Speciality
L. Torreira,22,Uruguay,82,Arsenal,Right,14,2023,66,141,PREMIER LEAGUE,No Speciality
Malcom,21,Brazil,82,FC Barcelona,Left,14,2023,68,163,LALIGA SANTANDER,No Speciality
Pau López,23,Spain,82,Real Betis,Left,23,2023,74,170,LALIGA SANTANDER,Goalkeeper
L. Hernández,22,France,82,Atlético Madrid,Left,21,2024,72,168,LALIGA SANTANDER,No Speciality
C. Lenglet,23,France,82,FC Barcelona,Left,15,2023,73,179,LALIGA SANTANDER,No Speciality
A. Kramarić,27,Croatia,82,TSG 1899 Hoffenheim,Right,27,2022,70,161,BUNDESLIGA,Dribbler
A. Robertson,24,Scotland,82,Liverpool,Left,3,2021,70,141,PREMIER LEAGUE,Engine
Dani García,28,Spain,82,Athletic Club de Bilbao,Right,16,2022,71,176,LALIGA SANTANDER,No Speciality
F. Bernardeschi,24,Italy,82,Juventus,Left,20,2022,73,170,SERIE A TIM,No Speciality
J. Brandt,22,Germany,82,Bayer 04 Leverkusen,Right,10,2021,73,185,BUNDESLIGA,Dribbler
D. Rugani,23,Italy,82,Juventus,Right,15,2021,75,185,SERIE A TIM,No Speciality
Samu Castillejo,23,Spain,82,Milan,Left,7,2023,72,148,SERIE A TIM,No Speciality
João Cancelo,24,Portugal,82,Juventus,Right,2,2023,72,163,SERIE A TIM,Speedster
A. Romagnoli,23,Italy,82,Milan,Left,13,2022,74,172,SERIE A TIM,No Speciality
T. Partey,25,Ghana,82,Atlético Madrid,Right,5,2023,73,170,LALIGA SANTANDER,Engine
Fred,25,Brazil,82,Manchester United,Left,17,2023,67,141,PREMIER LEAGUE,Engine
J. Vardy,31,England,82,Leicester City,Right,9,2022,70,163,PREMIER LEAGUE,No Speciality
A. Belotti,24,Italy,82,Torino,Right,9,2021,71,159,SERIE A TIM,No Speciality
E. Forsberg,26,Sweden,82,RB Leipzig,Right,10,2022,70,163,BUNDESLIGA,No Speciality
J. Lingard,25,England,82,Manchester United,Right,7,2021,69,137,PREMIER LEAGUE,Engine
F. Vázquez,29,Argentina,82,Sevilla FC,Left,22,2021,73,181,LALIGA SANTANDER,No Speciality
E. Višća,28,Bosnia Herzegovina,82,Medipol Başakşehir FK,Right,7,2021,68,139,SÜPER LIG,No Speciality
A. Rüdiger,25,Germany,82,Chelsea,Right,16,2022,75,187,PREMIER LEAGUE,No Speciality
A. Florenzi,27,Italy,82,Roma,Right,16,2023,68,148,SERIE A TIM,No Speciality
H. Maguire,25,England,82,Leicester City,Right,6,2023,76,220,PREMIER LEAGUE,Strength
T. Meunier,26,Belgium,82,Paris Saint-Germain,Right,15,2020,75,198,LIGUE 1 CONFORAMA,Engine
S. Sané,27,Senegal,82,FC Schalke 04,Right,26,2022,77,187,BUNDESLIGA,Strength
G. Kondogbia,25,Central African Rep.,82,Valencia CF,Left,6,2022,74,176,LALIGA SANTANDER,No Speciality
